SystemNetworkInterface;SystemNetworkInterface._name;SystemNetworkInterface._id;SystemNetworkInterface._description;SystemNetworkInterface._physicalAddress;SystemNetworkInterface._type;SystemNetworkInterface._operStatus;SystemNetworkInterface._speed;SystemNetworkInterface._index;SystemNetworkInterface._ipv6Index;SystemNetworkInterface._adapterFlags;SystemNetworkInterface._interfaceProperties;SystemNetworkInterface.Id;SystemNetworkInterface.Name;SystemNetworkInterface.Description;SystemNetworkInterface.NetworkInterfaceType;SystemNetworkInterface.OperationalStatus;SystemNetworkInterface.Speed;SystemNetworkInterface.IsReceiveOnly;SystemNetworkInterface.SupportsMulticast
System.Net.NetworkInformation.SystemNetworkInterface;Wi-Fi;{AB03DE95-6BAC-44E4-B6C2-729DD35076FF};"Intel(R) Wi-Fi 6 AX201 160MHz";"[18, 141, 249, 180, 22, 98]";Wireless80211;Down;-1;24;24;"DnsEnabled, DhcpEnabled, NetBiosOverTcp, IPv4Enabled, IPv6Enabled";System.Net.NetworkInformation.SystemIPInterfaceProperties;{AB03DE95-6BAC-44E4-B6C2-729DD35076FF};Wi-Fi;"Intel(R) Wi-Fi 6 AX201 160MHz";Wireless80211;Down;-1;False;True
System.Net.NetworkInformation.SystemNetworkInterface;"Connessione alla rete locale (LAN)* 3";{351D214A-08B2-4D81-B9DF-D9B328771BB8};"Microsoft Wi-Fi Direct Virtual Adapter #3";"[88, 108, 37, 158, 88, 195]";Wireless80211;Down;-1;10;10;"DnsEnabled, DhcpEnabled, NetBiosOverTcp, IPv4Enabled, IPv6Enabled";System.Net.NetworkInformation.SystemIPInterfaceProperties;{351D214A-08B2-4D81-B9DF-D9B328771BB8};"Connessione alla rete locale (LAN)* 3";"Microsoft Wi-Fi Direct Virtual Adapter #3";Wireless80211;Down;-1;False;True
System.Net.NetworkInformation.SystemNetworkInterface;"Connessione alla rete locale (LAN)* 4";{8A06A551-F8EB-424E-AB00-484B4BB86DEB};"Microsoft Wi-Fi Direct Virtual Adapter #4";"[90, 108, 37, 158, 88, 194]";Wireless80211;Down;-1;18;18;"DnsEnabled, NetBiosOverTcp, IPv4Enabled, IPv6Enabled";System.Net.NetworkInformation.SystemIPInterfaceProperties;{8A06A551-F8EB-424E-AB00-484B4BB86DEB};"Connessione alla rete locale (LAN)* 4";"Microsoft Wi-Fi Direct Virtual Adapter #4";Wireless80211;Down;-1;False;True
System.Net.NetworkInformation.SystemNetworkInterface;Ethernet;{2154EE94-5087-49D4-8A40-5F08347BC542};"Realtek PCIe GbE Family Controller";"[216, 187, 193, 115, 36, 112]";Ethernet;Up;100000000;5;5;"DnsEnabled, DhcpEnabled, NetBiosOverTcp, IPv4Enabled, IPv6Enabled";System.Net.NetworkInformation.SystemIPInterfaceProperties;{2154EE94-5087-49D4-8A40-5F08347BC542};Ethernet;"Realtek PCIe GbE Family Controller";Ethernet;Up;100000000;False;True
System.Net.NetworkInformation.SystemNetworkInterface;"Loopback Pseudo-Interface 1";{0A0C1AD8-2A39-11EB-9773-806E6F6E6963};"Software Loopback Interface 1";[];Loopback;Up;1073741824;1;1;"DnsEnabled, IPv4Enabled, IPv6Enabled";System.Net.NetworkInformation.SystemIPInterfaceProperties;{0A0C1AD8-2A39-11EB-9773-806E6F6E6963};"Loopback Pseudo-Interface 1";"Software Loopback Interface 1";Loopback;Up;1073741824;False;True
System.Net.NetworkInformation.SystemNetworkInterface;"Ethernet-WFP Native MAC Layer LightWeight Filter-0000";{1B95C936-B176-11F0-9A9A-806E6F6E6963};"Realtek PCIe GbE Family Controller-WFP Native MAC Layer LightWeight Filter-0000";"[216, 187, 193, 115, 36, 112]";Ethernet;Up;100000000;31;0;0;System.Net.NetworkInformation.SystemIPInterfaceProperties;{1B95C936-B176-11F0-9A9A-806E6F6E6963};"Ethernet-WFP Native MAC Layer LightWeight Filter-0000";"Realtek PCIe GbE Family Controller-WFP Native MAC Layer LightWeight Filter-0000";Ethernet;Up;100000000;False;True
System.Net.NetworkInformation.SystemNetworkInterface;"Ethernet-VirtualBox NDIS Light-Weight Filter-0000";{BD5ECD30-9F50-11ED-97F5-D8BBC1732470};"Realtek PCIe GbE Family Controller-VirtualBox NDIS Light-Weight Filter-0000";"[216, 187, 193, 115, 36, 112]";Ethernet;Up;100000000;32;0;0;System.Net.NetworkInformation.SystemIPInterfaceProperties;{BD5ECD30-9F50-11ED-97F5-D8BBC1732470};"Ethernet-VirtualBox NDIS Light-Weight Filter-0000";"Realtek PCIe GbE Family Controller-VirtualBox NDIS Light-Weight Filter-0000";Ethernet;Up;100000000;False;True
System.Net.NetworkInformation.SystemNetworkInterface;"Ethernet-QoS Packet Scheduler-0000";{1B95C937-B176-11F0-9A9A-806E6F6E6963};"Realtek PCIe GbE Family Controller-QoS Packet Scheduler-0000";"[216, 187, 193, 115, 36, 112]";Ethernet;Up;100000000;34;0;0;System.Net.NetworkInformation.SystemIPInterfaceProperties;{1B95C937-B176-11F0-9A9A-806E6F6E6963};"Ethernet-QoS Packet Scheduler-0000";"Realtek PCIe GbE Family Controller-QoS Packet Scheduler-0000";Ethernet;Up;100000000;False;True
System.Net.NetworkInformation.SystemNetworkInterface;"Ethernet-WFP 802.3 MAC Layer LightWeight Filter-0000";{1B95C938-B176-11F0-9A9A-806E6F6E6963};"Realtek PCIe GbE Family Controller-WFP 802.3 MAC Layer LightWeight Filter-0000";"[216, 187, 193, 115, 36, 112]";Ethernet;Up;100000000;35;0;0;System.Net.NetworkInformation.SystemIPInterfaceProperties;{1B95C938-B176-11F0-9A9A-806E6F6E6963};"Ethernet-WFP 802.3 MAC Layer LightWeight Filter-0000";"Realtek PCIe GbE Family Controller-WFP 802.3 MAC Layer LightWeight Filter-0000";Ethernet;Up;100000000;False;True
System.Net.NetworkInformation.SystemNetworkInterface;"Connessione alla rete locale (LAN)* 10-WFP Native MAC Layer LightWeight Filter-0000";{1B95C9F6-B176-11F0-9A9A-D8BBC1732470};"WAN Miniport (IP)-WFP Native MAC Layer LightWeight Filter-0000";[];Ethernet;Up;-1;43;0;0;System.Net.NetworkInformation.SystemIPInterfaceProperties;{1B95C9F6-B176-11F0-9A9A-D8BBC1732470};"Connessione alla rete locale (LAN)* 10-WFP Native MAC Layer LightWeight Filter-0000";"WAN Miniport (IP)-WFP Native MAC Layer LightWeight Filter-0000";Ethernet;Up;-1;False;True
System.Net.NetworkInformation.SystemNetworkInterface;"Connessione alla rete locale (LAN)* 10-QoS Packet Scheduler-0000";{1B95C9F7-B176-11F0-9A9A-D8BBC1732470};"WAN Miniport (IP)-QoS Packet Scheduler-0000";[];Ethernet;Up;-1;44;0;0;System.Net.NetworkInformation.SystemIPInterfaceProperties;{1B95C9F7-B176-11F0-9A9A-D8BBC1732470};"Connessione alla rete locale (LAN)* 10-QoS Packet Scheduler-0000";"WAN Miniport (IP)-QoS Packet Scheduler-0000";Ethernet;Up;-1;False;True
